"species","year_described","range","is_in_germany","rare","observer"
"Chrysotoxum vernale",1841,"Fennoscandia south to the Pyrenees; from Britain (southern England) eastwards through most of Europe into Asia almost to the Pacific; Iran. How much reliance can now be placed on these European range data is open to question, given discovery of the presence of two cryptic species in SE Europe (Nedeljković et al, 2015), largely indistinguishable from C. vernale. Until populations of C. vernale from western Europe in particular (e.g. Iberia, France) have been subject to the same degree of molecular taxonomic scrutiny as those from the Balkans, the possibility exists that C. vernale is also a complex of cryptic species in other parts of Europe.","yes","yes","Ricardo Andres Urrego Alvarez"
"Chrysotoxum verralli",1940,"Denmark south to central France; Britain (Wales and central/southern England) eastwards through central Europe into European parts of Russia to the Caucasus and on into eastern Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum volaticum",,,,,"Ricardo Andres Urrego Alvarez"
"Copestylum melleum",1867,"Canary Isles; Nearctic (Mexico).","no","no","Ricardo Andres Urrego Alvarez"
"Criorhina asilica",1816,"central Norway and southern Sweden south to the Pyrenees and northern Spain; from Britain eastwards through central Europe into European parts of Russia and the Ukraine; Italy, the former Yugoslavia, Bulgaria, Roumania.","yes","no","Ricardo Andres Urrego Alvarez"
"Criorhina berberina",1805,"Fennoscandia south to the Pyrenees and northen Spain; from Ireland eastwards through central Europe to European parts of Russia and Turkey; Italy; the former Yugoslavia, Roumania.","yes","no","Ricardo Andres Urrego Alvarez"
"Criorhina floccosa",1822,"southern Sweden and Denmark south to the Pyrenees; from Ireland eastwards through central Europe (plus northern Italy and the former Yugoslavia) into European parts of Russia as far as the Caucasus.","yes","no","Ricardo Andres Urrego Alvarez"
"Criorhina pachymera",1858,"Netherlands south to northern Spain; Belgium (Ardennes) eastwards through central Europe (Czech Republic, Switzerland, Austria) to Roumania.","yes","no","Ricardo Andres Urrego Alvarez"
"Criorhina ranunculi",1804,"southern Norway and southern Sweden south to Portugal and central Spain; from Ireland eastwards through central Europe into European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus albostriatus",1817,"from Fennoscandia south to Iberia; from Ireland eastwards through central and southern Europe (Italy, the former Yugoslavia) to Crete, Turkey and European parts of Russia (from the north to the Crimea and the Caucasus); into central Asia to Tuva; north Africa; Japan. This species is a confirmed migrator.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus eggeri",1862,"southern Sweden, Pyrenees (France, Spain), Alps (Switzerland, Austria, northern Italy), Corsica, Roumania and the Caucasus, also Poland; southwest Asia (Kirghizistan, Tajikistan) and western Siberia; Mongolia.","no","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus friuliensis",1960,"Fennoscandia and mountainous parts of Europe south to the Pyrenees; from Britain eastwards through mountainous parts of Europe into European parts of Russia; Siberia from the Urals to Kamchatka.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus hilaris",1843,"uncertain, due to considerable confusion with related species until recently, but confirmed from Ireland, Great Britain, Norway, France (Vosges, Alps, Pyrenees), Liechtenstein.","no","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus lenensis",1980,"Netherlands, France (Vosges, Alps), Germany, Switzerland, Liechtenstein, Austria, Italy (Dolomites) and eastern Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus neovenustus",,,,,"Ricardo Andres Urrego Alvarez"
"Dasysyrphus pauxillus",1887,"northern Norway, Sweden, Finland, Denmark, Britain, Spain (Pyrenees), France (Puy-de-Dôme, Alpes-Maritimes), Switzerland, Austria, Italy (Dolomites) and in N America from Alaska to California and across to New York.","no","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus pinastri",1776,"Greenland, Iceland and Fennoscandia south to the Pyrenees; from Ireland eastwards through northern and central Europe (plus mountainous parts of northern Italy and the former Yugoslavia) into Turkey and European parts of Russia; through Siberia from the Urals to Yakutia.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus tricinctus",1817,"Iceland south to the Pyrenees and northern Spain; from Ireland and Fennoscandia eastwards through much of central and northern Europe and Russia to the Pacific coast and Japan.","yes","no","Ricardo Andres Urrego Alvarez"
"Dasysyrphus venustus",1822,"Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern, central and mountainous parts of southern Europe (Italy, the former Yugoslavia) into European parts of Russia; in Siberia from the Urals to the Pacific coast (Kuril Isles); in N America from Alaska to Quebec and southwards to Oregon.","yes","no","Ricardo Andres Urrego Alvarez"
"Didea alneti",1817,"northern Fennoscandia south to northern France; from Ireland eastwards through central Europe and across Russia to the Pacific coast, Japan and Korea; Mongolia; in N America from Alaska south to Colorado.","yes","no","Ricardo Andres Urrego Alvarez"
"Didea fasciata",1843,"Fennoscandia south to the Pyrenees and Spain; Italy and Greece; from Ireland eastwards through Eurasia to the Pacific coast; in N America from British Columbia south to New Mexico and east to New York; in the Oriental region to N India and Formosa.","yes","no","Ricardo Andres Urrego Alvarez"
"Didea intermedia",1854,"Fennoscandia south to Iberia; Italy; the former Yugoslavia; from Britain eastwards through central and southern Europe into Russia and on to the Pacific coast (Kamchatka).","yes","no","Ricardo Andres Urrego Alvarez"
"Doros conopseus",,,,,"Ricardo Andres Urrego Alvarez"
"Doros destillatorius",1885,"round the Mediterranean basin from southern France through Italy to Greece and Turkey; also in Roumania; Sardinia.","no","no","Ricardo Andres Urrego Alvarez"
"Doros profuges",1780,"southern Norway and southern Finland south to central Spain; from Ireland east through most of central and southern Europe and on through Eurasia to the Pacific coast (Japan); also recorded from various parts of China.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe cryptica",1994,"uncertain, due to confusion with other related species until recently. Confirmed from the southern edge of Norway, from Sweden and Finland, Denmark, the Netherlands, Belgium, Germany, and Switzerland.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe diaphana",1843,"Sweden and Finland south to the Pyrenees and Spain; from Britain (southern England) eastwards through central and southern Europe (Italy, the former Yugoslavia) into Russia and on through Asia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe eligans",1780,"southern Sweden southwards to Iberia; from Ireland eastwards through central and southern Europe into Turkey and European parts of Russia as far as the Caucasus.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe euchroma",,,,,"Ricardo Andres Urrego Alvarez"
"Epistrophe euchromus",,,,,"Ricardo Andres Urrego Alvarez"
"Epistrophe flava",1994,"Scandinavia south to the Pyrenees and from Belgium eastwards through central and southern Europe (Spain, Italy) into European parts of Russia; through Siberia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe grossulariae",1822,"Fennoscandia south to Spain; from Ireland eastwards through Eurasia to Kamchatka; Italy; the former Yugoslavia and Turkey; across N America from Alaska to Quebec and south to California.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe leiophthalma",1853,"Ardennes (Belgium), Alps, Haut Languedoc, Pyrenees (France), northern parts of the former Yugoslavia, the Carpathians and the Transcaucasus.","no","no","Ricardo Andres Urrego Alvarez"
"Epistrophe melanostoma",1843,"Scandinavia south to Iberia; Italy, the former Yugoslavia, Bulgaria; from Britain (southern England) through central Europe into Asiatic parts of Russia. The information provided by Verlinden and Decleer (1987) suggests E.melanostoma may have spread into Belgium only recently and the presence of this species in Britain was only recognised early in the 1990’s. Vockeroth (1992) points out that the N American species E.terminalis (Curran) might well be a synonym of E.melanostoma, but was unable to confirm this synonymy becasue the identity of E.melanostoma was then in doubt - at that time the revision of Doczkal and Schmid (1994) was not available. From the information provided by Vockeroth (1992) and Doczkal and Schmid (1994) it would seem almost certain that E.terminalis is, indeed, a junior synonym of E.melanostoma, and is treated as such here. This interpretation results in a Nearctic range for E.melanostoma, from Alaska through Canada to Maine and Ontario.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe nitidicollis",1822,"Fennoscandia south to Iberia; from Ireland eastwards through northern, central and southern Europe (Italy, the former Yugoslavia, Bulgaria) into Russia; through Siberia to the Pacific coast (Kamchatka, Sakhalin Is.); in N America from Alaska south to California and S Carolina.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe obscuripes",1910,"inadequately known. So far recorded from Norway, Sweden, Finland, the Netherlands, Belgium (Ardennes), France (Vosges), Germany and Austria.","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe ochrostoma",1849,"uncertain, due to confusion with related species until recently; confirmed from northern and southern Norway, Sweden, central and southern Germany and the Netherlands. The record from Gibraltar by Ebejer and Bensusan (2011) is apparently based on misdetermined specimens of E.eligans (A. Van Eck, pers.comm.).","yes","no","Ricardo Andres Urrego Alvarez"
"Epistrophe olgae",1993,"as yet uncertain, due to confusion with E.nitidicollis, but known from Norway, Sweden, Finland, France (Rhine valley in Alsace), Switzerland and Eastern Siberia, including the Kuril islands.","no","no","Ricardo Andres Urrego Alvarez"
"Episyrphus balteatus",1776,"Fennoscandia to the Mediterranean; Canary Isles, Azores and N Africa; Ireland through Eurasia to the Pacific coast; south through the Oriental region to Sri Lanka; Australia. This is an extremely migratory species and records from offshore islands of northern Europe, such as the Faroes (Jensen, 2001) are assumed to be due to annual immigration, rather than indicative of the occurrence of resident populations.","yes","no","Ricardo Andres Urrego Alvarez"
"Eriozona annulipes",,,,,"Ricardo Andres Urrego Alvarez"
"Eriozona erraticus",,,,,"Ricardo Andres Urrego Alvarez"
"Eriozona syrphoides",1817,"southern Norway, Sweden and Finland south to France (Vosges, Alps, Pyrenees), from Ireland eastwards through central Europe (and northern Italy: Aosta) into European parts of Russia and on through Siberia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Eristalinus aeneus",1763,"cosmopolitan; southern Sweden south to N Africa and the Canary Isles; on into the Afrotropical region south to Kenya and Tanzania; from Ireland eastwards through central and southern Europe and on through Russia and China to the Pacific and south into the Oriental region; Mauritius; in N America from Minnesota and Ontario south to California and Texas; Hawaii, Australia and the Gilbert and Ellis islands in Australasia; Bermuda.","yes","no","Ricardo Andres Urrego Alvarez"
"Eristalinus megacephalus",1794,"southern Spain, Rhone delta in France and coastal parts of Italy round the Mediterranean basin (including islands, e.g. Corsica, Malta, Sicily, Crete) to Turkey and on into Egypt and N Africa; southwards through the Afrotropical region to S Africa.","no","no","Ricardo Andres Urrego Alvarez"
"Paragus flammeus",1971,"from Belgium south through France to central Spain and eastwards through central (Germany, Switzerland, Austria) Europe to the Ukraine and through southern Europe to Greece; and the Caucasus mountains and on into Kazakhstan and Tajikistan; Crete, Iran, N Africa (Morocco).","yes","no","Emil Cyranka"
"Paragus haemorrhous",1822,"from northern Norway south to Iberia and the Mediterranean (including Sicily and Malta); N Africa, Israel and Turkey; also in the Afrotropical region; from Ireland eastwards through central and southern Europe (Italy, the former Yugoslavia) into European parts of Russia; in N America from the Yukon south to Costa Rica.","yes","no","Emil Cyranka"
"Paragus pecchiolii",1857,"from southern Norway and Denmark south to Spain, most of the Mediterranean islands and N Africa; from northern France (Brittany) eastwards through central Europe (Germany, Czech Republic, Switzerland, Liechtenstein and Austria) to the former Yugoslavia, Roumania and European parts of Russia and southeast to Turkey.","no","no","Emil Cyranka"
"Paragus quadrifasciatus",1822,"from northern France (Brittany) south to the Mediterranean and N.Africa; from Portugal eastwards through southern and central Europe to Roumania, Greece (including Crete and Rhodes), Turkey, Iran and the Caucasus; European parts of Russia eastwards through Kazakhstan, Tajikistan etc.to the far east; northern China, Korea, Japan.","no","no","Emil Cyranka"
"Paragus tibialis",1817,"uncertain at present, due to confusion with other species until recently; apparently occurs from southern Norway, Sweden and Denmark south to the Mediterranean coast of Europe, N Africa and the Canary Isles; from Britain (southern England) eastwards through central and southern Europe to the former Yugoslavia, Turkey and Israel; records from N America are apparently erroneous and relate to P.haemorrhous (Mg.), according to Vockeroth (1986b). The more northerly European records are now suspect because of the possibility of confusion with P.constrictus Simic.","yes","unclear","Emil Cyranka"
"Parasyrphus annulatus",1838,"from northern Fennoscandia south to southern France (Alpes Maritimes); from Ireland eastwards through northern and central Europe (and mountainous parts of Italy and the former Yugoslavia) into European parts of Russia and on to the Caucasus; through Siberia to the Pacific coast (Kuril Isles).","yes","no","Emil Cyranka"
"Parasyrphus lineola",,,,,"Emil Cyranka"
"Parasyrphus macularis",1843,"Scandinavia south to France (Vosges, Alps) and Belgium eastwards through mountainous parts of central Europe; northern parts of European Russia; in the Nearctic from Alaska south to Oregon.","yes","yes","Emil Cyranka"
"Parasyrphus malinellus",1952,"from Fennoscandia south to the Ardennes and the Alps; from Ireland eastwards through northern and central Europe into European parts of Russia; through Siberia to Yakutia.","yes","no","Emil Cyranka"
"Parasyrphus nigritarsis",1843,"Norway, Sweden and Finland south to Belgium and also in northern Spain (Cordillera Cantabria); from Ireland eastwards through central Europe into Russia and on to the Pacific coast, including Japan; in N America from Alaska to Quebec and south to Washington and Idaho.","no","no","Emil Cyranka"
"Parasyrphus punctulatus",1994,"Finland, northern parts of European Russia and eastwards through Siberia to the Pacific coast.","no","no","Emil Cyranka"
"Parasyrphus vittiger",1843,"from Fennoscandia south to the Pyrenees and central Spain; from Ireland eastwards through most of Europe into European parts of Russia and the Caucasus; from the Urals to central Siberia (Cis-Baikal, Yakutia).","unclear","no","Emil Cyranka"
"Parhelophilus consimilis",1863,"from Fennoscandia south to Belgium (extinct?) and north-east France (Haute Saône); from Ireland eastwards through Britain, Denmark, Poland and northern Europe into Russia to as far as eastern Siberia. This insect does not seem to have been recorded from the Alps, other than Switzerland (Maibach et al, 1992). Re-examination of the material concerned shows that the record of P.consimilis from Mallorca, in Riddiford & Ebejer (2006), was based on misdetermined specimens of P.versicolor.","no","unclear","Emil Cyranka"
"Parhelophilus frutetorum",1775,"Southern Sweden south to the Mediterranean and eastwards through central Europe and parts of southern Europe into Russia, the Caucasus and on as far as eastern Siberia.","yes","no","Emil Cyranka"
"Parhelophilus versicolor",1794,"from southern Fennoscandia south to Iberia, the Mediterranean and N Africa; from Ireland eastwards through most of Europe into Turkey and European parts of Russia; in Siberia from the Urals to the R.Ob.","unclear","no","Emil Cyranka"
"Pelecocera lusitanica",1898,"southern Fennoscandia south to the Mediterranean; Spain (inc. Canary Isles) east through parts of central and southern Europe into European parts of Russia.","no","no","Emil Cyranka"
"Pelecocera pruinosomaculata",1906,"uncertain due to confusion with related species, but known from Spain, southern France, southern Italy and Greece.","no","unclear","Emil Cyranka"
"Pelecocera scaevoides",1817,"northern Norway and Sweden, Finland, Britain (Scottish highlands), Belgium (extinct), France (Aude, Hautes Alpes), Germany, Poland, Czech Republic, Switzerland, Liechtenstein, Italy, parts of European Russia and the Caucasus mountains.","yes","no","Emil Cyranka"
"Pelecocera tricincta",1822,"from Fennoscandia south to Iberia; from Britain (southern England) eastwards through much of Europe (including Italy, northern parts of the Balkans) into European parts of Russia and the Caucasus; through Siberia to Cis-Baikal.","yes","no","Emil Cyranka"
"Pipiza accola",1985,"southern Norway, Sweden and Finland; Germany (Nieder Sachsen, Baden- Würrtemberg) and Siberia.","yes","yes","Emil Cyranka"
"Pipiza austriaca",1822,"uncertain, due to confusion with related species, but as interpreted here in much of the Atlantic zone and southern parts of Scandinavia.","no","unclear","Emil Cyranka"
"Pipiza bimaculata",,,,,"Emil Cyranka"
"Pipiza fasciata",1822,"“from Fennoscandia south to France; from Germany eastwards through central Europe to the Balkan Peninsula” (Vujić et al, 2013a).","yes","no","Emil Cyranka"
"Pipiza fenestrata",,,,,"Emil Cyranka"
"Pipiza festiva",1822,"from Belgium and the Netherlands south to the Mediterranean; from Spain eastwards through southern and central Europe to the Caucasus and on into Asiatic parts of Russia to as far as the Pacific (Sakhalin).","unclear","no","Emil Cyranka"
"Pipiza lugubris",1775,"Fennoscandia, Poland, from England and Wales through France (south to the Dordogne) and across central Europe to 185 Austria; Italy in southern Europe. Whether Ssymank’s (2012) record of P.lugubris from montane spruce forest in the Rhodope mountains of NE Greece is based on P.lugubris or P.laurusi requires to be established. Since P.laurusi is apparently an inhabitant of Mediterranean laurel forest Ssymank’s (2013a) record may well refer to P.lugubris.","unclear","unclear","Emil Cyranka"
"Pipiza luteitarsis",1843,"from Fennoscandia south to Belgium and France; from Ireland eastwards through central Europe (Alps) into European parts of Russia.","yes","no","Emil Cyranka"
"Pipiza noctiluca",1758,"uncertain, due to confusion with other species but, according to Vujić et al (2013a), probably “all Europe, Russia and Turkey”. 186","yes","unclear","Emil Cyranka"
"Pipiza notata",1822,"uncertain, due to confusion with other species, but known from Sweden, Denmark, various parts of the Atlantic zone, including Britain and Ireland, Germany, France and “central Europe (Alps) into European parts of Russia and until south-east Greece” (Vujić et al, 2013a).","yes","unclear","Emil Cyranka"
"Pipiza quadrimaculata",1802,"from Finland south. to the Pyrenees, Bulgaria and the former Yugoslavia; through northern and central Europe into Russia as far as the Pacific (Sakhalin). Also, this species supposedly occurs in north America.","yes","no","Emil Cyranka"
"Pipizella annulata",1829,"from Finland south to southern Portugal and east through central Europe to Hungary and round the Mediterranean to the former Yugoslavia. Records of P.annulata from Turkey require re-appraisal: according to Van Steenis and Lucas (2011) they probably refer to P.orientalis.","yes","no","Emil Cyranka"
"Pipizella atra",,,,,"Emil Cyranka"
"Pipizella pennina",1974,"Netherlands, Belgium, France, Spain (Pyrenees), southern Germany, Switzerland, Austria, Serbia, Roumania.","yes","yes","Emil Cyranka"
"Pipizella viduata",1758,"from Fennoscandia south to Iberia and the Mediterranean; from Ireland eastwards through most of Europe into European parts of Russia and the Caucasus; Western Siberia. According to Van Steenis and Lucas (2011) P.viduata does not seem to occur in Turkey.","unclear","no","Emil Cyranka"
"Pipizella virens",1999,"Austria, Belgium, France (Alps), Montenegro, Serbia, Slovenia, Switzerland.","no","yes","Emil Cyranka"
"Platycheirus ambiguus",1817,"uncertain, due to confusion with other species, but supposedly from Fennoscandia south to central Spain; from Ireland eastwards through most of Europe into Russia and on to the Pacific coast, including Japan.","unclear","unclear","Emil Cyranka"
"Platycheirus angustatus",1843,"Fennoscandia south to northern Spain; from Ireland eastwards through northern and central Europe into European parts of Russia; through Siberia from the Urals to the Pacific coast (Sakhalin Is.); in N America from Alaska to Quebec and south to Washington.","yes","no","Emil Cyranka"
"Platycheirus aurolateralis",2002,"uncertain at present, due to confusion with other members of the scutatus group. Known from Ireland and Britain (southern England) eastwards through Germany to the Alps (Austria, France, Switzerland, Italy) and on to Slovenia and Turkey, plus northwards to central Norway and Sweden.","yes","unclear","Emil Cyranka"
"Platycheirus clypeatus",1822,"from Iceland, the Faroes (Jensen, 2001) and Fennoscandia south to Iberia and the Mediterranean; from Ireland eastwards through most of Europe into Turkey and European parts of Russia; from the Urals to central Siberia; in N America from Alaska to Ontario and south to California.","yes","no","Emil Cyranka"
"Platycheirus discimanus",1871,"from southern Norway south to Belgium and France (Alps); from Ireland eastwards through central Europe into Russia and on through Siberia to the Pacific coast (Sakhalin); also in Afghanistan, Mongolia and China; in N America known from central Canada and Pennsylvania.","yes","no","Emil Cyranka"
"Platycheirus europaeus",1990,"as yet inadequately known, but recorded from Sweden; Finland; Denmark; Britain, Germany, Netherlands, Belgium, France (the Cote d'Or, Vosges, Alps and Pyrenees), Czech Republic, Hungary, the Swiss Plateau (low altitude plains between the Jura and the Alps), Austria, Spain, Italy and Serbia; eastern Asiatic Russia.","yes","no","Emil Cyranka"
"Platycheirus fulviventris",1829,"from southern Fennoscandia south to Iberia and the Mediterranean; through lowland areas of central Europe and southern Europe into Turkey and European parts of Russia and on to the Pacific coast.","yes","no","Emil Cyranka"
"Platycheirus granditarsa",,,,,"Emil Cyranka"
"Platycheirus immarginatus",1849,"uncertain, due to confusion with other species, until recently; in Britain present from the Scottish Highlands to the south coast of England, where it is not infrequent in coastal localities; from various coastal sites in Ireland; its presence cannot yet be confirmed for France or central Europe, but it occurs in Sweden, Denmark, the Netherlands and Belgium. From the information and figures provided by Vockeroth (1990) this species would seem to also occur in N America, from Alaska south to southern California.","unclear","yes","Emil Cyranka"
"Platycheirus manicatus",1822,"from Iceland, the Faroes (Jensen, 2001) and Fennoscandia south to Iberia, the Mediterranean and N Africa; from Ireland eastwards through most of Europe into Turkey and European parts of Russia; in Siberia from the Urals to the Altai; Alaska in N America; Greenland.","yes","no","Emil Cyranka"
"Platycheirus nielseni",1990,"Fennoscandia south to northern France (Vosges); from Ireland eastwards through northern and central Europe (including northern Italy), where it is frequent in the central Alps, into European parts of Russia; Siberia; scattered records from N America from Alaska through much of Canada and south through the Rocky mountains to Colorado.","yes","no","Emil Cyranka"
"Platycheirus occultus",1990,"Norway, Sweden, Finland, the Faroes (Jensen, 2001), Denmark, Ireland, Britain, northern Germany, France (various parts, including the Paris basin, the Alps, Pyrenees, Massif Central and the Vosges), lowland parts of Switzerland, Liechtenstein (the Rhine valley), Spain and northern Italy (Apennines), Serbia, Turkey, Iran and Azerbaidjan.","yes","yes","Emil Cyranka"
"Platycheirus parmatus",1857,"Norway, Sweden and Finland southwards to the Ardennes and the Vosges; through the Alps in central Europe to the former Yugoslavia and European parts of Russia; Siberia; Alaska and northern Canada in N America. This species has been extending its range westwards for the last 20 or more years.","yes","no","Emil Cyranka"
"Platycheirus peltatus",1822,"uncertain, due to confusion with other species until recently, but presence confirmed in Iceland, Norway, Sweden, Finland, Denmark, Ireland, Britain, Germany, the Netherlands, the Ardennes and Vosges mountains, the R. Loire floodplain, the Rhine valley, the Pyrenees and the Alps (Switzerland, Liechtenstein, Austria), the former Yugoslavia; Altai mountains (SE Siberia); Japan. According to Vockeroth (1990), records of this species from N America are erroneous.","yes","unclear","Emil Cyranka"
"Platycheirus perpallidus",1901,"from Norway and Finland south to northern France; from Ireland eastwards through northern and central Europe into European parts of Russia and on through Siberia to the Pacific coast; in N America from Alaska to New Brunswick and south to Utah.","yes","no","Emil Cyranka"
"Platycheirus rosarum",,,,,"Emil Cyranka"
"Platycheirus scambus",1843,"from Fennoscandia south to central France; from Ireland eastwards through northern and central Europe to European parts of Russia and on to the Pacific coast (Sakhalin); in N America from Alaska to Quebec and south to California.","yes","no","Emil Cyranka"
"Platycheirus scutatus",1822,"requires review due to potential for confusion of this species with the recently-described scutatus group species, but supposedly widespread, from Iceland, the Faroes (Jensen, 2001) and Fennoscandia south to Iberia and the Mediterranean; from Ireland eastwards through northern, central and southern Europe (Italy, the former Yugoslavia, Greece) into Turkey and European parts of Russia; Afghanistan; through Siberia to the Pacific coast (Sakhalin Is., Japan); in N America from Alaska south to Colorado.","yes","unclear","Emil Cyranka"
"Platycheirus similis",,,,,"Emil Cyranka"
"Platycheirus splendidus",1998,"uncertain, due to confusion until recently with other members of the scutatus group, but confirmed from Ireland, Britain (Scotland southwards) and Scandinavia (Norway, Sweden, Finland), through Belgium and Germany to the Alps (Austria, France, Germany, Italy, Switzerland) and from the Nearctic.","yes","unclear","Emil Cyranka"
"Platycheirus sticticus",1822,"from southern Sweden and Denmark south to the Pyrenees and northern Spain; from Ireland eastwards through central Europe (plus northern Italy and the former Yugoslavia) into Russia and on to eastern Siberia (Tuva).","yes","no","Emil Cyranka"
"Platycheirus tarsalis",1836,"from Britain and Finland eastwards through central and southern Europe into Russia and on into Asia to as far as eastern Siberia. The reference to occurrence of P.tarsalis in N America, given in Peck (1988), is presumably erroneous, since the species is not recognised as Nearctic by Vockeroth (1990).","no","no","Emil Cyranka"
"Pocota personata",1780,"from southern Sweden south to the Pyrenees; from Britain eastwards through central and southern Europe (Italy, the former Yugoslavia) into European parts of Russia and on to the Caucasus.","yes","no","Emil Cyranka"
"Portevinia maculata",1817,"from southern Norway south to north Spain; from Ireland eastwards into central Europe as far as Liechtenstein, Austria and northern Italy.","no","no","Emil Cyranka"
"Psarus abdominalis",1794,"from southern Sweden (extinct?) south through the Netherlands (extinct?) and Belgium (extinct?) to central France (recent records from Rhine valley and Paris basin); from Brittany eastwards through central Europe (Germany - Rhine valley, Switzerland - extinct?) to Roumania and European parts of Russia; Italy, the former Yugoslavia and northern Greece. Threatened at the European level. This is one of the few species of Diptera so far included on any continental European ""Red List"": see Andersson et al (1987). Not only is this species evidently a victim of forest clearance and forest management throughout Western Europe, it is such an unmistakeable insect it is highly unlikely that its presence would go undetected. The fact that it is the only species in its genus (and Tribe) and is endemic to Europe makes its status of greater significance. If ever there were a syrphid which required special protection measures to be taken to ensure its survival in Europe then P.abdominalis is it. Mengual and Ssymank (2015) review the distribution data for this species,","yes","yes","Emil Cyranka"
"Psilota anthracina",1822,"requires re-appraisal, due to confusion with P.atra and P.exilistyla, but known from Britain, the Netherlands, Belgium, Germany, the Alps (France, Switzerland, Liechtenstein, Austria), the Pyrenees (France), Spain, Italy, Montenegro, Croatia and Greece.","yes","unclear","Emil Cyranka"
"Psilota exilistyla",2008,"uncertain, due to confusion until recently with P.anthracina and P.atra, but confirmed from the Netherlands, Belgium, France (Jura, Pyrenees) and Greece.","unclear","unclear","Emil Cyranka"
"Rhingia austriaca",,,,,"Emil Cyranka"
"Rhingia borealis",1928,"Fennoscandia south, through mountain ranges, to the Pyrenees; northern France (Vosges) eastwards through central Europe into Russia and on into Asia as far as central Siberia.","yes","yes","Emil Cyranka"
"Rhingia campestris",1822,"from northern Fennoscandia south to the Pyrenees, northern Spain and the Mediterranean; from Ireland eastwards through most of Europe into European parts of Russia and the Caucasus; throughout Siberia to the Pacific coast; Mongolia. The practice of keeping cattle penned in cow-houses and feeding them cut grass etc., throughout the summer, is now spreading in Europe and R.campestris is all but absent from regions (e.g. much of northern France and northern Italy) where this regime now predominates. Similarly, the use of the systemic pesticides, the Ivermectins, in cattle, appears to be causing a decrease in the frequency of R.campestris at present, though there is as yet no experimental work on the degree of toxicity of these chemicals to Rhingia larvae - Ivermectins excreted in cow-dung are known to be lethal to dung beetles (Aphodiidae etc.).","yes","unclear","Emil Cyranka"
"Rhingia rostrata",1758,"from southern Finland and Denmark (extinct?) south to northern Spain; from Britain (Wales, southern England) eastwards through central Europe into European parts of Russia, the Caucasus and western Siberia. Although frequent during the 19th century, this species has all-but-disappeared from most parts of Europe during the 20th century and it should probably be regarded as threatened at European level. Its disappearance co-incided with that of the horse from the European countryside, and it is tempting to speculate that R.rostrata was largely dependent on dry horse dung as a larval microhabitat. But horses are not necessarily a feature of the localities from which R.rostrata is found today (see above).","yes","yes","Emil Cyranka"
"Scaeva albomaculata",1842,"Iberian peninsula and round the Mediterranean basin to Morocco; Canary Islands; eastward through southern Russia, the Caucasus and southern Siberia to the far east and northern China; Afghanistan, Mongolia; highly migratory and occasionally reaches as far north as Britain, from which there are two records, from southern England (Palmer, 1996). But such records, like those from most of central Europe, cannot be regarded as indicative of the presence of resident populations.","no","no","Emil Cyranka"
"Scaeva dignota",1857,"there is one record of this species from southern Sweden and another from Denmark. Otherwise it occurs from southern England and Belgium, France (from Brittany southwards) and the Czech Republic south to the Mediterranean (including Crete); from Portugal and Spain eastwards through central (Germany, Switzerland, Austria) and southern Europe to the former Yugoslavia; Greece and Turkey; N Africa; Canary Isles.","yes","no","Emil Cyranka"
"Scaeva melanostoma",,,,,"Emil Cyranka"
"Scaeva pyrastri",1758,"Fennoscandia south to Iberia, the Mediterranean, Canary Isles and N Africa; from Ireland east through much of Europe and Asia Minor into European Russia; through Siberia from the Urals to the Pacific coast (Kuril Isles); India; China; N America from Alaska to California and New Mexico. This is an extremely migratory species, and occasional records from offshore islands of northern Europe, such as the Faroes (Jensen, 2001) are almost certainly derived from seasonal immigration, rather than a resident population.","unclear","no","Emil Cyranka"
"Scaeva selenitica",1822,"from Fennoscandia and the Faroes (Jensen, 2001) south to Iberia and the Mediterranean, including N Africa; from Ireland eastwards through much of Europe into Turkey and European parts of Russia; from the Urals through Siberia to Cis-Baikal and on to Sakhalin and the Kuril Isles.","unclear","no","Emil Cyranka"
"Sericomyia bequaerti",1913,"Albania, parts of the former Jugoslavia, Bulgaria, Greece, Turkey, southern Russia, Ukraine, Armenia.","no","no","Emil Cyranka"
